Company Name,Country,Address,Email,Contact Name,Position,Phone,Website,Raw Data
"SKY NET  Logistic Sh.P.K.(Tirana, Head Office)",Albania,"Terminal Center, Kati 4,Autostrada Tirane-Durres Km. 0,1050 Tirana, Albania",info@skynet.al,Ms. DoraPrifti,Air Cargo Agent (Air & Sea Department),+355 68 205 8501 (Mr. Erjon Ndreu),https://skynet.al/,"Address:
Terminal Center, Kati 4,Autostrada Tirane-Durres Km. 0,1050 Tirana, Albania
Phone:
+355 4 451 0000
Fax:
(N/A)
Emergency Call:
+355 68 205 8501 (Mr. Erjon Ndreu)
Website:
https://skynet.al/
Email:
info@skynet.al
Name:
Ms. DoraPrifti
Title:
Air Cargo Agent (Air & Sea Department)
Direct Line
+355 4 451 0000
Email
dora.prifti@skynet.al
Mobile
+355 69 709 7845
Name:
Mr. ErjonNdreu
Title:
Executive & Operational Director
Direct Line
+355 4 451 0000
Email
erjon.ndreu@skynet.al
Mobile
+355 68 205 8501"
"SKY NET  Logistic Sh.P.K.(Tirana, Head Office)",Albania,"Terminal Center, Kati 4,Autostrada Tirane-Durres Km. 0,1050 Tirana, Albania",dora.prifti@skynet.al,Mr. ErjonNdreu,Executive & Operational Director,+355 69 709 7845,https://skynet.al/,"Address:
Terminal Center, Kati 4,Autostrada Tirane-Durres Km. 0,1050 Tirana, Albania
Phone:
+355 4 451 0000
Fax:
(N/A)
Emergency Call:
+355 68 205 8501 (Mr. Erjon Ndreu)
Website:
https://skynet.al/
Email:
info@skynet.al
Name:
Ms. DoraPrifti
Title:
Air Cargo Agent (Air & Sea Department)
Direct Line
+355 4 451 0000
Email
dora.prifti@skynet.al
Mobile
+355 69 709 7845
Name:
Mr. ErjonNdreu
Title:
Executive & Operational Director
Direct Line
+355 4 451 0000
Email
erjon.ndreu@skynet.al
Mobile
+355 68 205 8501"
"Pelikan Sh.p.k(Durres, Head Office)",Albania,"Egnatia Str, Fly Tower, 13th floor,2001, Durres, Albania",export@pelikantransport.com,Mr. Genc Mataj,General Manager,,http://www.pelikantransport.com/,"Address:
Egnatia Str, Fly Tower, 13th floor,2001, Durres, Albania
Phone:
+355.52.225510
Fax:
+355.52.225511
Website:
http://www.pelikantransport.com/
Email:
info@pelikantransport.com
Name:
Import Department (Imports to Albania)
Email
import@pelikantransport.com
Name:
Export Department (Exports from Albania)
Email
export@pelikantransport.com
Name:
Mr. Genc Mataj
Title:
General Manager
Email
gmataj@pelikantransport.com
Name:
Mr. AlfredXholi
Title:
Office Manager
Email
axholi@pelikantransport.com
Name:
Mr. ValbonaMamunanaj
Title:
Finance Manager
Email
finance@pelikantransport.com"
"Pelikan Sh.p.k(Durres, Head Office)",Albania,"Egnatia Str, Fly Tower, 13th floor,2001, Durres, Albania",gmataj@pelikantransport.com,Mr. AlfredXholi,Office Manager,,http://www.pelikantransport.com/,"Address:
Egnatia Str, Fly Tower, 13th floor,2001, Durres, Albania
Phone:
+355.52.225510
Fax:
+355.52.225511
Website:
http://www.pelikantransport.com/
Email:
info@pelikantransport.com
Name:
Import Department (Imports to Albania)
Email
import@pelikantransport.com
Name:
Export Department (Exports from Albania)
Email
export@pelikantransport.com
Name:
Mr. Genc Mataj
Title:
General Manager
Email
gmataj@pelikantransport.com
Name:
Mr. AlfredXholi
Title:
Office Manager
Email
axholi@pelikantransport.com
Name:
Mr. ValbonaMamunanaj
Title:
Finance Manager
Email
finance@pelikantransport.com"
"Pelikan Sh.p.k(Durres, Head Office)",Albania,"Egnatia Str, Fly Tower, 13th floor,2001, Durres, Albania",axholi@pelikantransport.com,Mr. ValbonaMamunanaj,Finance Manager,,http://www.pelikantransport.com/,"Address:
Egnatia Str, Fly Tower, 13th floor,2001, Durres, Albania
Phone:
+355.52.225510
Fax:
+355.52.225511
Website:
http://www.pelikantransport.com/
Email:
info@pelikantransport.com
Name:
Import Department (Imports to Albania)
Email
import@pelikantransport.com
Name:
Export Department (Exports from Albania)
Email
export@pelikantransport.com
Name:
Mr. Genc Mataj
Title:
General Manager
Email
gmataj@pelikantransport.com
Name:
Mr. AlfredXholi
Title:
Office Manager
Email
axholi@pelikantransport.com
Name:
Mr. ValbonaMamunanaj
Title:
Finance Manager
Email
finance@pelikantransport.com"
SBA Albania Sh.p.k.(Tirana),Albania,"Rr.”Vangjush Furxhi”, Nd.6, H.4, Ap.1 Njesia Bashkiake Nr.10, 1001, Tirana, Albania",albania@sba-group.net,Mr. Makis Mavroeidis,Executive Director,+355.6920.52157,http://www.sba-group.net/,"Address:
Rr.”Vangjush Furxhi”, Nd.6, H.4, Ap.1 Njesia Bashkiake Nr.10, 1001, Tirana, Albania
Phone:
+355.42.251.850
Fax:
+355.42.250.252
Emergency Call:
+355.6920.52157
Website:
http://www.sba-group.net/
Email:
albania@sba-group.net
Name:
Mr. Makis Mavroeidis
Title:
Executive Director
Email
makis.mavroeidis@sba-group.net
Name:
Mr. Arben Lapi
Title:
Country Director
Email
arben.lapi@sba-group.net
Name:
Mrs. AlbanaHoxha
Title:
Freight Forwarder
Email
albana.hoxha@sba-group.net
Name:
Mrs. XhovanaMusagalliu
Title:
Freight Forwarder
Email
xhovana.musagalliu@sba-group.net
Name:
Mr. JaniMiska
Title:
Sales Director
Email
jani.miska@sba-group.net
Name:
Mrs. ArjolaRrogozi
Title:
Financial Assistant
Email
arjola.rrogozi@sba-group.net"
SBA Albania Sh.p.k.(Tirana),Albania,"Rr.”Vangjush Furxhi”, Nd.6, H.4, Ap.1 Njesia Bashkiake Nr.10, 1001, Tirana, Albania",makis.mavroeidis@sba-group.net,Mr. Arben Lapi,Country Director,+355.6920.52157,http://www.sba-group.net/,"Address:
Rr.”Vangjush Furxhi”, Nd.6, H.4, Ap.1 Njesia Bashkiake Nr.10, 1001, Tirana, Albania
Phone:
+355.42.251.850
Fax:
+355.42.250.252
Emergency Call:
+355.6920.52157
Website:
http://www.sba-group.net/
Email:
albania@sba-group.net
Name:
Mr. Makis Mavroeidis
Title:
Executive Director
Email
makis.mavroeidis@sba-group.net
Name:
Mr. Arben Lapi
Title:
Country Director
Email
arben.lapi@sba-group.net
Name:
Mrs. AlbanaHoxha
Title:
Freight Forwarder
Email
albana.hoxha@sba-group.net
Name:
Mrs. XhovanaMusagalliu
Title:
Freight Forwarder
Email
xhovana.musagalliu@sba-group.net
Name:
Mr. JaniMiska
Title:
Sales Director
Email
jani.miska@sba-group.net
Name:
Mrs. ArjolaRrogozi
Title:
Financial Assistant
Email
arjola.rrogozi@sba-group.net"
SBA Albania Sh.p.k.(Tirana),Albania,"Rr.”Vangjush Furxhi”, Nd.6, H.4, Ap.1 Njesia Bashkiake Nr.10, 1001, Tirana, Albania",arben.lapi@sba-group.net,Mrs. AlbanaHoxha,Freight Forwarder,+355.6920.52157,http://www.sba-group.net/,"Address:
Rr.”Vangjush Furxhi”, Nd.6, H.4, Ap.1 Njesia Bashkiake Nr.10, 1001, Tirana, Albania
Phone:
+355.42.251.850
Fax:
+355.42.250.252
Emergency Call:
+355.6920.52157
Website:
http://www.sba-group.net/
Email:
albania@sba-group.net
Name:
Mr. Makis Mavroeidis
Title:
Executive Director
Email
makis.mavroeidis@sba-group.net
Name:
Mr. Arben Lapi
Title:
Country Director
Email
arben.lapi@sba-group.net
Name:
Mrs. AlbanaHoxha
Title:
Freight Forwarder
Email
albana.hoxha@sba-group.net
Name:
Mrs. XhovanaMusagalliu
Title:
Freight Forwarder
Email
xhovana.musagalliu@sba-group.net
Name:
Mr. JaniMiska
Title:
Sales Director
Email
jani.miska@sba-group.net
Name:
Mrs. ArjolaRrogozi
Title:
Financial Assistant
Email
arjola.rrogozi@sba-group.net"
SBA Albania Sh.p.k.(Tirana),Albania,"Rr.”Vangjush Furxhi”, Nd.6, H.4, Ap.1 Njesia Bashkiake Nr.10, 1001, Tirana, Albania",albana.hoxha@sba-group.net,Mrs. XhovanaMusagalliu,Freight Forwarder,+355.6920.52157,http://www.sba-group.net/,"Address:
Rr.”Vangjush Furxhi”, Nd.6, H.4, Ap.1 Njesia Bashkiake Nr.10, 1001, Tirana, Albania
Phone:
+355.42.251.850
Fax:
+355.42.250.252
Emergency Call:
+355.6920.52157
Website:
http://www.sba-group.net/
Email:
albania@sba-group.net
Name:
Mr. Makis Mavroeidis
Title:
Executive Director
Email
makis.mavroeidis@sba-group.net
Name:
Mr. Arben Lapi
Title:
Country Director
Email
arben.lapi@sba-group.net
Name:
Mrs. AlbanaHoxha
Title:
Freight Forwarder
Email
albana.hoxha@sba-group.net
Name:
Mrs. XhovanaMusagalliu
Title:
Freight Forwarder
Email
xhovana.musagalliu@sba-group.net
Name:
Mr. JaniMiska
Title:
Sales Director
Email
jani.miska@sba-group.net
Name:
Mrs. ArjolaRrogozi
Title:
Financial Assistant
Email
arjola.rrogozi@sba-group.net"
SBA Albania Sh.p.k.(Tirana),Albania,"Rr.”Vangjush Furxhi”, Nd.6, H.4, Ap.1 Njesia Bashkiake Nr.10, 1001, Tirana, Albania",xhovana.musagalliu@sba-group.net,Mr. JaniMiska,Sales Director,+355.6920.52157,http://www.sba-group.net/,"Address:
Rr.”Vangjush Furxhi”, Nd.6, H.4, Ap.1 Njesia Bashkiake Nr.10, 1001, Tirana, Albania
Phone:
+355.42.251.850
Fax:
+355.42.250.252
Emergency Call:
+355.6920.52157
Website:
http://www.sba-group.net/
Email:
albania@sba-group.net
Name:
Mr. Makis Mavroeidis
Title:
Executive Director
Email
makis.mavroeidis@sba-group.net
Name:
Mr. Arben Lapi
Title:
Country Director
Email
arben.lapi@sba-group.net
Name:
Mrs. AlbanaHoxha
Title:
Freight Forwarder
Email
albana.hoxha@sba-group.net
Name:
Mrs. XhovanaMusagalliu
Title:
Freight Forwarder
Email
xhovana.musagalliu@sba-group.net
Name:
Mr. JaniMiska
Title:
Sales Director
Email
jani.miska@sba-group.net
Name:
Mrs. ArjolaRrogozi
Title:
Financial Assistant
Email
arjola.rrogozi@sba-group.net"
SBA Albania Sh.p.k.(Tirana),Albania,"Rr.”Vangjush Furxhi”, Nd.6, H.4, Ap.1 Njesia Bashkiake Nr.10, 1001, Tirana, Albania",jani.miska@sba-group.net,Mrs. ArjolaRrogozi,Financial Assistant,+355.6920.52157,http://www.sba-group.net/,"Address:
Rr.”Vangjush Furxhi”, Nd.6, H.4, Ap.1 Njesia Bashkiake Nr.10, 1001, Tirana, Albania
Phone:
+355.42.251.850
Fax:
+355.42.250.252
Emergency Call:
+355.6920.52157
Website:
http://www.sba-group.net/
Email:
albania@sba-group.net
Name:
Mr. Makis Mavroeidis
Title:
Executive Director
Email
makis.mavroeidis@sba-group.net
Name:
Mr. Arben Lapi
Title:
Country Director
Email
arben.lapi@sba-group.net
Name:
Mrs. AlbanaHoxha
Title:
Freight Forwarder
Email
albana.hoxha@sba-group.net
Name:
Mrs. XhovanaMusagalliu
Title:
Freight Forwarder
Email
xhovana.musagalliu@sba-group.net
Name:
Mr. JaniMiska
Title:
Sales Director
Email
jani.miska@sba-group.net
Name:
Mrs. ArjolaRrogozi
Title:
Financial Assistant
Email
arjola.rrogozi@sba-group.net"
Interliner Agencies d.o.o.(Tirana),Albania,"Prane Doganes,Tirana, Albania",tirana@interliner-agencies.com,Mr. VlatkoHristovski,Executive Director,+389.70.204.790 (Mr. Vlatko Hristovski),http://www.interliner-agencies.com/,"Address:
Prane Doganes,Tirana, Albania
Phone:
+389.2.240.1930
Fax:
+389.2.240.1940
Emergency Call:
+389.70.204.790 (Mr. Vlatko Hristovski)
Website:
http://www.interliner-agencies.com/
Email:
tirana@interliner-agencies.com
Name:
Mr. VlatkoHristovski
Title:
Executive Director
Email
vlatko.hristovski@interliner-agencies.com
Mobile
+389 70 204 790
Name:
Mr. Ankush Bahl
Title:
Managing Director
Mobile
+386 41 757 740"
Interliner Agencies d.o.o.(Tirana),Albania,"Prane Doganes,Tirana, Albania",vlatko.hristovski@interliner-agencies.com,Mr. Ankush Bahl,Managing Director,+389 70 204 790,http://www.interliner-agencies.com/,"Address:
Prane Doganes,Tirana, Albania
Phone:
+389.2.240.1930
Fax:
+389.2.240.1940
Emergency Call:
+389.70.204.790 (Mr. Vlatko Hristovski)
Website:
http://www.interliner-agencies.com/
Email:
tirana@interliner-agencies.com
Name:
Mr. VlatkoHristovski
Title:
Executive Director
Email
vlatko.hristovski@interliner-agencies.com
Mobile
+389 70 204 790
Name:
Mr. Ankush Bahl
Title:
Managing Director
Mobile
+386 41 757 740"
